NOM DE LA RESSOURCE;DESCRIPTION;LIEN;IDs - FILTRES;IMAGE;AUTEUR.ICES
Modèles numériques;;https://github.com/Konsilion/kloud-template/upload/main/Codes%20numeriques;GitHub;;Konslion
Images;;https://github.com/Konsilion/kloud-template/upload/main/Images;GitHub;;Konslion
Rapports;;https://github.com/Konsilion/kloud-template/upload/main/Rapports;GitHub;;Konslion
Dataset & Jeux de données;;https://github.com/Konsilion/kloud-template/upload/main/Datasets;GitHub;;Konsilion
Plans 3D;;https://gitlab.com/nbremond/klouds/-/tree/main/Plans%203D#modal-upload-blob;Gitlab;;Konsilion
