NOM DE LA RESSOURCE;DESCRIPTION;LIEN;IDs - FILTRES;IMAGE;AUTEUR.ICES
Picojoules;PicoJoule désigne une unité de mesure d’énergie dans le domaine de la physique. Depuis 2012, c’est aussi le nom d’une association qui fait la promotion des énergies renouvelables avec de petites installations de méthanisation. Suite à ses expériences à Artilect, le Fab-Lab de Toulouse, Picojoule a intégré la Maison de l’Économie Sociale et Solidaire (MES) de Ramonville en 2016.  ;https://picojoule.fr/;Association;https://static.wixstatic.com/media/9c0294_10806d3e86b04622b058669f09f2be9c~mv2.png/v1/fill/w_758,h_206,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/banni%C3%A8reinternet_edited.png;-
Glocal - SemApps;Ce site a pour objectif de réunir les informations sur la communauté Low-tech. Il utilise un serveur sémantique permettant d'utiliser des données standardisée et potentiellement distribuées.;https://semapps.gl.assemblee-virtuelle.org/;Outils numériques;https://cdn-icons-png.flaticon.com/512/681/681392.png;-
Assemblée virtuelle;L’Assemblée Virtuelle rassemble un collectif d’individus et d’organisations, une communauté, un réseau, un écosystème, un archipel composé d’acteurs autonomes et reliés, passionnés par les enjeux de la décentralisation de l’internet et du web et des transitions technologiques, culturelles, écologiques, sociales, politiques, économiques etc. ;http://www.virtual-assembly.org/;Association;https://semapps.gl.assemblee-virtuelle.org/logo192.png;-
Forum LowTRE;Bienvenue sur le forum LowTRE, Low-Tech Recherche et Enseignement. L’enjeu de cette communauté est de déclencher une prise de conscience et de décision dans le milieu universitaire sur la nécessité de repenser nos activités en les adaptant aux défis actuels d’une société que nous souhaiterions sobre et résiliente.;https://forum-lowtre-ecosesa.univ-grenoble-alpes.fr/;Outils numériques;http://forum-lowtre-ecosesa.univ-grenoble-alpes.fr/uploads/default/original/1X/bcd3acf616277c848f5a63940b2baafffc92c20d.jpeg;-
